Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Bahrain,BHR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,3813478376.22712,4547340159.57447,4337766223.40426,3611169946.80851,3768351063.82979,3716489627.65958,3013031914.89362,3472340425.53191,3529787234.04255,3811169946.80851,4887765691.48936,3923935904.25532,4009042287.23404,4361702127.65957,4520478723.40425,4796010638.29787,5364361436.17021,5020744946.80851,3994946808.51064,5221808510.6383,7176063829.78723,6607446808.51064,6956117021.2766,7980851063.82979,10336702127.6596,13396808510.6383,15662234042.5532,17314361702.1277,21231382978.7234,15704787234.0426,17880319148.9362,28609308510.6383,31409042553.1915,34102925531.9149,32069148936.1702,25652925531.9149,23782180851.0638,26732180851.0638,30172872340.4255,,
"Bahamas, The",BHS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,589300000,688100000,785000000,939800000,961200000,1038300000,1153500000,1297900000,1503600000,1577900000,1664300000,,1648320000,1714730000,1585170000,1562180000,1606810000,1662790000,1699040000,1733680000,2335400000,2368200000,2801300000,3072900000,2834100000,3212800000,3176400000,3460500000,3812500000,3895000000,4257100000,4157100000,3412900000,3528800000,3769900000,4087400000,4245700000,4149100000,4125100000,4211200000,4192100000,4482800000,,
Bosnia and Herzegovina,BIH,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194000000,381000000,658000000,1022000000,1123990566.57385,1295321568.62745,1579685633.53745,1632283629.20937,1619401636.18864,2535225100.98096,2946920634.92064,3549945952.81999,4505419793.47059,4276291112.6662,5131401288.19652,4405111158.46296,5100738132.32207,5973018693.58163,5572979240.57286,6133981399.7692,6306151132.8178,5653138077.68642,6028973474.351,7245879912.41212,8183133977.06699,,
Belarus,BLR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950000000,6000000000,10185185185.1852,11008264462.8099,10641993957.7039,6939552977.46472,6839769230.76923,8457248497.9202,8988770378.07839,7186389618.7248,8815283224.1715,8246546762.58993,9285958123.9531,11615943442.2233,15711851851.8519,18063463324.0483,22195244755.2448,27593429636.5331,37027902621.7228,24865449337.6298,29396844578.7177,48458472361.809,51744692335.3724,44058175675.6757,43301115023.4742,32749824186.8643,29831121833.5344,36551674170.6774,41882705143.3059,,
Belize,BLZ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,88973677.084055,84972542.787739,70947948.3470445,76516537.3161435,108649358.108206,83652580.9580265,104359482.161641,137936011.204951,161076592.032097,172914999.692331,201789164.717291,194000000,257665600,261401800,289455450,297425600,320713850,345342500,362282350,398031450,440767300,443480250,490171700,526733350,534853450,609026800,744269450,788432250,853628650,690190900,813293723.220865,914738891.752415,981551644.063545,1032304077.94216,1036213205.92398,1013860999.41638,933746673.32209,1009694471.83304,1079726280.32292,,
Bermuda,BMU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699314000,2704649000,2644231000,2589439000,2656891000,,,,,,,
Bolivia,BOL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,60602013.3892052,66695604.2671831,67363395.0483314,81303527.6048014,109517688.108316,129713804.713805,142255892.255892,170033670.03367,169696969.69697,189814814.814815,250168350.16835,234343434.343434,265513350.883791,350024987.506247,741229385.307346,623738130.934533,756121939.030485,864117941.029485,849175412.293853,1068846706.17008,1101141924.95922,1386623164.76346,1623181529.4428,1536933903.2077,1459225551.75372,1024366575.83932,844298528.585403,853524588.169453,862854857.376268,1061010967.12834,1108688320.48918,1147700385.41027,1131361363.9277,1094220299.64127,1295735742.88497,1514377643.06398,1670373428.44756,1673157413.92764,1673904647.82853,1398595244.64937,1534697177.97364,1626040049.03964,1710308647.14086,2069144688.74034,2731911668.34677,3394519904.2908,4783642093.96375,5483666700.63175,7487864968.29366,6194300427.35043,8093183262.78735,10565709240.3056,12774727496.3821,13518462662.8075,14285068596.2373,10186598842.2576,8311504920.40521,9341206367.58321,10470274095.5137,,
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1070544628.54537,1109152823.34559,770900519.674771,2080325261.99351,1354466134.88626,1685625122.1861,1846958711.61305,1764834054.99797,2032731102.64928,2479930321.58748,2975391707.00149,3155632739.4951,4249449495.7691,6557708237.89377,8424673828.03794,9325921437.05926,10741988183.0392,12776590678.7557,13404621904.9098,16026612550.3001,21276141967.6084,24828388398.9376,21435129573.2899,23221079048.8769,28317692072.5525,27305943051.3526,23640556197.1808,27820190044.6057,35974382968.3631,38004000000,37880000000,52310000000,43538125000,45983167701.8634,53941811356.1708,57920041189.9313,57235482141.0805,61679566883.1169,60724077380.4395,57330907863.5587,66774569991.801,69203919564.6629,72286060356.887,84757339584.0104,110743537333.333,135918581909.3,159215718705.466,186198863078.424,229512905442.251,180894503551.065,240006821282.401,303021879483.501,292804259894.527,290362691897.407,270452613684.658,232489103970.663,224011751218.114,258207996490.568,276656631452.187,,
Barbados,BRB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,202627097.668432,202690388.262302,245539166.832769,321101774.971412,438572067.816835,603440560.831303,565753492.765873,631531845.075324,740714960.473326,823546959.67782,811763536.021479,715905135.981704,659623129.319346,748670014.418535,852533187.490678,867846666.335206,819569432.705216,808900000,872470541.440859,973599164.719336,1038930045.24437,1134340973.49973,1161686471.43638,1194252473.52459,1230497688.06245,1322800000,1251500000,1211100000,1378750000,1435900000,1711700000,2026229150,2273854150,2327059750,1946091200,2104601250,2071175100,1964175800,1963432350,1893703900,1954045850,2083292250,2100297550,2160346050,,
Brunei Darussalam,BRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,966802084.6157,1052165478.85126,1332766715.23393,1639747478.88825,1844766930.51891,2665317759.58797,4601625256.86531,4066833909.2157,3809813084.11215,3393752957.87979,,,,,,1845357124.54494,2176000000,2468163926.83492,2421117249.84653,2248421834.38544,2087861725.80856,2827007196.27487,3065957446.80851,2972117456.89655,2044694072.65774,2567551622.41888,4042036716.93736,3894175364.17927,3922149447.1127,4543527034.78361,5416090226.00876,6688037370.82432,8227327081.6288,8310397452.06025,11269686706.1812,7811357074.10972,9240190685.73524,12876222275.2206,13364276568.5019,12311381074.1688,11749802683.5043,6751036439.01375,5652190834.72091,6012294735.31755,7045834309.43732,,
Bhutan,BTN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,18510178.1170483,22602771.3625866,20400634.2494715,19968316.8316832,21887323.943662,25820533.5489087,35504361.6177637,59617283.9506173,79686063.2183908,77398028.3425755,80434037.692747,80410290.237467,80220293.2098765,74261397.1794031,79964297.0991393,114460067.838421,112291843.070844,131398512.806389,124772176.442075,130380863.910822,129012507.788162,125216999.364272,128202190.907221,158797507.513954,218024620.476611,313215333.333333,488540499.2606,657474450.100971,613943620.532718,565371973.730149,673077343.64407,750024105.16279,706230865.389654,727604108.004055,710750702.529105,684255674.422737,608539735.666036,735446791.847866,,,
Botswana,BWA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7991027.618113,8954806.21239681,9953736.15589513,11044317.0697609,11989404.7121149,14519056.261343,15062761.5062762,14435146.4435146,15271966.5271967,17615930.92884,23729759.9106644,42086129.753915,61760499.2848784,94799020.3140758,125239146.431199,154834347.532116,187442502.299908,229869358.669834,307353296.30524,443742331.288344,562918167.781781,533763595.075893,553753520.442847,727778284.25563,754544054.220579,738988752.233785,951599169.815337,1476502471.85657,1864978672.20825,1826368554.27068,2086912120.39774,2090843886.03087,1997772195.09883,1959225785.15125,2036914251.6576,2404876993.00195,2609469947.65658,3056343815.05424,2361177500.65075,3027160280.25257,3000196009.25164,2671112100.25337,2836767913.01874,3667669548.87978,4444139018.51734,5255909517.84596,5291779460.6449,5963543363.52382,4999047884.10552,3573059775.54472,5579516015.07301,7668392266.97084,7913193530.46123,9167947448.84747,9865854881.29589,7647704610.52424,7785103245.51426,6957517376.34575,7326355243.54851,,
Central African Republic,CAF,Exports of goods and services (current US$),NE.EXP.GNFS.CD,26101663.5324279,32618432.4315288,30610513.5259673,32650875.6148568,40403674.3675804,40806179.1987216,44773980.9441937,43089273.2506263,65799813.9476266,51399881.3666379,60397792.9335814,60030783.7294562,57429311.3135228,77607282.0037938,78051053.0122594,80012173.7888853,100096590.716487,127861435.845127,142999429.662597,157199556.603561,201027829.000055,169417064.639175,165958843.454919,159064482.530585,149211719.376313,190340624.533959,204099901.272257,214306676.79078,224453261.7622,250535801.106115,245892968.903802,242234415.393597,238129779.615387,218665883.135697,199169783.685189,247850138.355647,216376660.533701,252105044.396708,219168752.430283,192136061.26759,186303954.218701,159877005.095912,158252320.484048,207845728.91652,177784785.782214,178708437.533948,209094018.800509,239616991.83002,218449261.647375,202648827.38021,248850643.175435,319635167.688461,289939554.628932,253202169.864788,315554746.518613,289321404.447886,270318353.102031,356799393.08834,419196577.83141,,
Canada,CAN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,7215712236.96798,7439414166.10697,8094515611.35049,9398224064.40888,9996446867.04438,11675300776.8421,13131449205.2398,15002668947.8911,16551276495.1988,19265001435.5441,20913052089.5227,24070108091.7264,29896010398.9601,38617586912.0654,38302202123.4762,44942190669.3712,48202162670.4278,53813447882.8789,64212907631.8935,75584160109.4766,81065977145.7169,79268055442.9764,85210159039.273,99654852907.1114,100872940314.903,102284994602.375,112629713423.831,132708214837.085,142065878378.378,149461775797.052,149170812603.648,155724331926.864,168751259592.28,190114967779.731,218740163217.721,233945727906.124,249765997399.971,253784967981.126,283991384532.544,329258635782.102,310667613636.364,304705919836.87,330149882235.386,383240584166.026,432369202838.752,467052186177.715,502770691741.923,534150890346.767,391985828011.548,471736717163.276,550163771962.44,554964544782.69,560108797442.998,573083180253.852,495747450357.728,481357649980.237,518155810115.014,550512465603.614,,
Central Europe and the Baltics,CEB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128421345056.009,136109794572.984,143429108572.995,158049607775.344,152974855313.849,165132555409.455,183137220420.621,206521374956.811,264004607978.306,345409818513.954,412648275041.355,501963966344.869,640021152141.466,761656220318.449,601528882136.13,688904458975.589,824370040729.274,800679443549.633,859759760029.955,904535059016.106,803013939016.451,832619039913.583,941708583949.26,1058248524194.48,,
Switzerland,CHE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,10218997736.1079,11665105735.504,14087057759.2753,19117667814.7118,23175594502.0642,25656377213.0322,28703376740.2784,33446300187.227,44774761744.9664,50672878089.8539,56172585904.3982,53581992312.3918,50403111362.8528,48724852460.5783,51113594288.6326,52332532619.755,68986425426.6496,80965279037.0172,90152024191.895,92156315544.96,108671351713.216,105738270432.357,112563474327.976,109518060706.551,119116502668.714,139383426638.478,137783088673.139,135356205884.38,137791418471.513,137454516509.12,141789620736.618,141793623014.932,147504305594.765,169781826316.18,202880148130.277,219835928927.08,243432423911.31,294204136037.987,347370612316.499,309906630456.759,373420687857.23,457983317764.484,447813754987.545,495206231662.519,455817951895.791,422965463953.971,441347202947.395,442189906383.555,466305408688.835,,
Channel Islands,CHI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,536608944.069088,525717060.801627,614812442.87852,697065976.799525,732786384.66917,800181243.362563,1014234414.27814,985193067.05048,981819346.012696,1347031542.31512,1310155209.09861,1179623638.77507,1133195225.25019,2239538316.38582,3166342379.01505,1837931193.02324,2476026426.76916,2754528077.36706,3169044746.71835,4824713525.45742,6292627054.01682,5363825291.2401,4713939511.28918,4767971202.82819,4474125374.86451,4647193725.63029,5161066966.67965,6308060062.77162,8456167150.41737,10071482715.094,10760217714.584,11842675065.5747,13312092909.9785,12758599161.7389,15656361048.5982,21025141438.6168,20794067519.5867,22487271963.9408,20819483696.5826,21624592264.633,23772266321.3405,22996523019.9704,22876417337.3588,26973735771.3335,39488088029.3013,49382442843.8593,67789580748.6682,78242480554.8399,74413752040.6308,63854403849.5175,82487244655.3566,95255289952.0849,91147100657.3255,89638293156.1457,86267287016.2619,71654520805.7744,70495462057.2382,79229596080.0111,85925271946.7734,,
