Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Antigua and Barbuda,ATG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,31551851.8518519,46111111.1111111,75440740.7407407,74077777.7777778,91137037.037037,93562962.962963,94029629.6296296,129688888.888889,151681481.481481,205892592.592593,226985185.185185,265525925.925926,290937037.037037,345300000,369862962.962963,407266666.666667,439285185.185185,436459259.259259,401607407.407407,402522222.222222,443288888.888889,465900000,472829629.62963,466861925.925926,445334074.074074,427865296.296296,462637925.925926,533973111.111111,545269370.37037,548169814.814815,581289333.333333,625368666.666667,561623518.518518,523833888.888889,537755740.740741,543333333.333333,545555555.555555,590740740.740741,602193555.555556,608888888.888889,,,,
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2413484152.76067,2437003023.85486,2772986896.62896,2796505767.72315,3549109642.73715,3428155448.53847,3525590771.64296,3915332064.06093,4016127225.89316,4377869862.24661,5354462985.77668,5715085675.88756,6663551401.86916,9019859064.70211,11680176860.7222,13874095316.1273,14185049792.0081,15449644413.8564,16123392736.296,19275247074.8608,24616155988.8579,26334610472.5415,26231932031.3362,24060832943.3786,26236189096.1782,27497123571.3738,27321628427.5322,29290629962.9434,37674621653.085,45334256168.0645,47071950750.2886,52249430970.8814,54226716911.482,54747048903.8786,58015219647.1809,65793733293.7333,75814112291.3505,83327594302.7078,78166587533.0665,71285875422.9853,80697104816.9315,84096812278.6305,81986709920.4688,89076295864.8806,105368473467.065,126651631333.634,148419436957.173,172356912930.831,212503133393.017,213439846856.133,227050118911.301,299391698708.469,332126211590.019,314546014158.203,308750573762.967,270133954571.928,232715824719.755,281898333207.633,312657933493.528,,
Austria,AUT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,4210936385.28711,4828105022.57958,5940800642.89541,7945377117.15511,10245142962.3086,11254488267.3619,12352078468.9729,14409079260.6777,18066572822.894,22832410396.2944,26006990002.1272,23441765249.6976,22623842784.5446,21981186839.283,22265892373.2893,24230778531.5243,31689309598.9184,38996595559.4253,44096573609.718,46607267810.7124,59423125378.1919,60116254331.1727,64678674931.1295,59900881225.6004,65453950006.0234,80827705745.8714,81256732518.8459,78792186266.7719,83704902178.7461,85477892606.009,85305371291.6897,88047337807.6063,96701496329.7572,116638893905.192,141025428358.58,153625979355.802,170827273867.771,204299603065.973,229126805331.771,180907557654.904,200892688044.939,232583677064.385,220981850149.848,229834282276.735,235966614250.844,202703358781.359,207301247712.457,225489961141.584,253848500558.011,,
Azerbaijan,AZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885196371.82385,4014478401.50504,4302724069.23816,2281805933.31096,819242649.705302,991644243.368955,791908858.405022,1150564617.31493,1009305138.60034,1281380203.06622,2118054168.34413,2368624503.38237,2666940958.65048,3056403991.04052,4235066653.09861,8337000211.55067,13954555630.1769,22516839529.1924,32133276533.593,22870241353.5705,28728665753.0833,37214511839.9392,36914842158.8595,35907329509.2416,32560882315.4405,20059340230.3338,17580998934.6368,19839356263.0723,25484470588.2353,,
Burundi,BDI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,24499998,26250000,28000000,17500000,36750000,16452740.7407407,17828571.4285714,19257142.8571429,18861714.2857143,18371428.5714286,25945142.8571429,21329142.8571429,28961142.8571429,33526603.8537475,33674920.6349206,34839365.0793651,61551304.3478261,96342222.2222222,71443333.3333333,110822222.222222,81022222.2222222,88603333.3333333,103470000,97956966.1108123,113561106.006182,126803836.274754,140881024.787597,110260311.589511,136282900.38819,108560193.991189,89130244.3724271,115775316.368525,94756920.9276871,88062144.1515651,95016968.8478329,129318804.202468,50580560.1981833,95688945.6506315,71499431.1758513,61217971.467102,55005758.5302566,45410971.2771723,38676369.5311261,50072047.4404685,63635537.873214,69261008.8304376,92956376.4796095,92221558.6590511,169242773.917112,117576040.954033,197117152.22357,196752242.712616,226330906.445008,223097905.279872,205732033.513962,177973982.159024,196892749.282965,236167733.241568,235708516.55748,,
Belgium,BEL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,12006111415.8935,13052185099.9095,16423224635.6888,22932275719.3128,29637776719.1384,30156821213.1184,34528906478.5789,39354961395.6106,46332075060.8428,58067512107.8701,63563402676.2312,56620736527.5967,53510783065.513,52655467140.0394,53687392627.7576,53878264216.319,68750421437.6016,83463311399.2437,96418786834.8876,104389986793.612,126512468131.338,126790048670.998,138072578795.483,126086323694.03,143073452616.349,173144772851.669,170850032573.29,163720906630.582,165908868637.475,166675047943.746,171360235857.748,169391856823.266,182148221343.874,219109255079.007,261315867891.731,286413008332.297,313301467820.851,368272378866.685,416715980665.007,331329674909.697,364802121084.452,421761151361.305,398952014299.411,413789684188.167,426678499805.665,359576861976.544,377878126013.216,414030276926.393,448188985266.076,,
Benin,BEN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13852022.3283418,10801828.3446839,8317361.99456439,9703490.05209447,13861514.1502658,21069299.1007541,20739915.2713466,23474433.6301209,30461094.8168297,38939712.0178981,50633283.0565214,59595404.5028899,59023791.0451078,78995251.9009445,79408573.2434805,98337358.6004389,90731935.2752976,121349816.855035,153492175.476023,207784769.85882,222261791.957198,205681871.994966,225297369.526999,150766908.094661,205805456.696281,247338434.725317,222807320.060097,238541696.086267,223654558.261557,202741075.388948,375946872.309605,417201334.67136,393976833.800644,510965402.210603,452687266.876523,593804034.832126,625667835.201242,616436678.880202,665156749.246294,637161886.382488,543136056.635593,545401094.212651,616653194.41563,741396726.739473,850866805.177813,909438883.602629,952781473.583072,1348309542.82667,1630172755.88297,1445827632.01728,1659679588.06316,1660482174.37675,1876380332.59016,2496996758.04556,3045727121.40155,2027158565.53583,2129975826.24936,2529338687.73063,3663715239.00142,,
Burkina Faso,BFA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,16066015.5932969,19014523.3570401,20997594.4212122,21985472.3951019,11484234.600989,19676614.6700677,21918946.4763691,22215438.6427041,28569274.0399879,27823662.4410247,25007057.4461719,26587940.9376357,37028538.9377989,42590357.7160121,62500051.515426,69071585.0515765,80128193.5497911,90048551.0396468,110202801.789274,144182091.522441,172630524.021498,164734458.733882,143789772.682317,126168367.94676,160016224.494607,154030085.947449,183075141.081916,269185266.015942,287730467.399165,228834247.834382,340110196.070221,327535416.538908,198184577.912254,208751601.544402,269162042.425441,336477102.200468,273233009.365219,264655013.035635,359254830.522567,284956447.419355,250604488.078541,260002714.727808,294167103.546373,366324656.060914,548132371.024114,532286217.877441,673239521.268427,714349651.248459,834226578.878495,1062830722.2871,1726555038.89743,2681411103.70082,2849413870.48797,2662275761.4768,2755410148.35715,2713912176.77925,3254871612.39929,3742253762.36096,4349247966.14397,,
Bangladesh,BGD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,427347691.355166,519448521.02941,546086853.304424,531067333.067804,540135770.207523,570741539.824914,662275557.021677,675028035.681699,623451537.73079,690047514.251654,747575116.132797,550621082.29095,356841000,528824097.159748,463095606.326889,563045020.279405,480166471.380471,679513484.162896,738155879.62963,950929356.110381,996555891.472868,1038984088.1273,940219560.878244,986784511.784512,642600000,1199576923.07692,1128533333.33333,1212483870.96774,1442788426.25951,1594548362.40253,1866930004.59731,2062577030.81232,2405649867.37401,2990714285.71429,3039700748.12968,4122014925.37313,4507555012.22494,5075480093.67682,5876850220.26432,6028722961.73045,6588073941.56231,7227575982.20904,6791241511.40519,6876856649.39551,7257329709.52947,9994813008.13008,11744907683.1447,13530306979.4382,16181037749.5992,17359874074.1602,18472449276.0536,25627346571.2845,26886637936.4819,29304945498.3092,32830360072.3104,33820154152.8479,36864997680.8994,37548748736.0971,40558319574.122,,
Bulgaria,BGR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,7084153846.15385,7081357142.85714,6631000000,6153111111.11111,7061055555.55556,7341684210.52631,8106529411.76471,11461076923.0769,10277764705.8824,10207166666.6667,6833181818.18182,4758064516.12903,4876288659.79381,4137681159.42029,4368450184.50185,6138392857.14286,5962338392.35526,5610024377.19246,6304078618.4958,5825651629.75458,4797485046.86102,4947406966.63157,5519114106.88493,7277486004.50165,10713415021.2685,12703259005.1458,16150901045.3409,23262841147.6557,28588393658.3907,21963744934.9541,25395559767.1585,33916530394.5965,32772601839.6846,36043159609.1205,36875457875.4579,32398945817.275,34460633484.1629,39675540190.1469,43600060350.0302,,
